id;msisdn;text;state;submit_at;expired_at;request_at
1;Enhanced;monitor Quality-focused;90994;2020-05-03T10:19:55;2020-05-03T03:19:57;2020-05-03T11:32:25
2;redundant;Chips auxiliary;89248;2020-05-03T04:43:55;2020-05-03T13:01:41;2020-05-03T12:26:50
3;withdrawal Indiana red;schemas;24463;2020-05-03T22:41:05;2020-05-03T20:28:20;2020-05-03T16:25:17
4;redundant optical Borders;purple initiatives;63482;2020-05-03T18:18:45;2020-05-03T14:17:03;2020-05-03T19:17:51
5;Sausages;Cook Islands virtual Principal;14251;2020-05-03T22:17:22;2020-05-03T04:53:19;2020-05-03T17:19:56
6;Credit Card Account South Africa;implement;26823;2020-05-03T03:31:12;2020-05-03T12:37:45;2020-05-03T10:00:57
7;Forward Function-based orchid;Road Pants;84963;2020-05-03T20:07:33;2020-05-03T19:29:50;2020-05-03T04:02:27
8;Handcrafted Fresh Pants;virtual;70851;2020-05-03T07:53:05;2020-05-04T00:43:35;2020-05-03T19:04:00
9;Palestinian Territory;Kids Utah;5430;2020-05-03T10:22:25;2020-05-04T01:31:06;2020-05-03T23:06:58
10;deposit Oklahoma Avon;SMTP hack;59410;2020-05-03T19:47:26;2020-05-04T01:50:25;2020-05-03T18:22:22
