id;name;state;short_msg;start_at;expired_at;pdu;vas_cloud_package;rate_limit
1;transform Lempira;25527;navigating Algerian Dinar;2020-05-03T04:29:10;2020-05-03T06:58:02;../fake-data/blob/hipster.txt;Clothing Beauty extranet;6660
2;bricks-and-clicks innovative JSON;38930;JSON;2020-05-03T05:33:18;2020-05-03T09:14:34;../fake-data/blob/hipster.txt;Wooden;86032
3;Glen;10011;Steel Car;2020-05-03T15:13:24;2020-05-03T20:29:40;../fake-data/blob/hipster.txt;Assimilated Marketing;96101
4;navigate;33304;Branding Developer Wisconsin;2020-05-03T10:16:25;2020-05-03T14:30:40;../fake-data/blob/hipster.txt;system engine;72992
5;deposit;88644;Money Market Account;2020-05-04T02:48:20;2020-05-03T02:53:16;../fake-data/blob/hipster.txt;quantify;92265
6;transmit Avon;83760;Shoes;2020-05-03T10:26:43;2020-05-03T21:27:56;../fake-data/blob/hipster.txt;Cape;67678
7;pixel object-oriented;95260;Generic Product;2020-05-03T03:15:50;2020-05-03T10:13:06;../fake-data/blob/hipster.txt;fuchsia;84876
8;model monitor B2C;3019;Shirt Buckinghamshire;2020-05-03T04:45:05;2020-05-04T01:00:11;../fake-data/blob/hipster.txt;redundant;68265
9;cross-platform monitor;5174;Manager Internal;2020-05-03T13:24:21;2020-05-03T05:23:55;../fake-data/blob/hipster.txt;Gorgeous overriding Metal;72172
10;Arizona Texas Cotton;39626;Program;2020-05-03T16:25:19;2020-05-03T20:18:54;../fake-data/blob/hipster.txt;secondary B2C Right-sized;55168
